ID,Date,CrimeEventID,CrimeActivity,StormEventID,StormActivity,ZoneCityID,Zone,City
2030511,10/1/2019,1.91002E+12,Violent Crime,774650,Coastal Flood,29,COASTAL MIAMI-DADE COUNTY,South Miami
2030427,10/1/2019,1.91002E+12,Murder and Non-negligent manslaughter,774572,Strong Wind Rain,4,COASTAL MIAMI-DADE COUNTY,Biscayne Park
2030423,10/1/2019,1.91002E+12,Motor Vehicle - Theft,774465,Lightning,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030451,10/1/2019,1.91002E+12,Murder and Non-negligent manslaughter,774640,Thunderstorm Wind,32,METROPOLITAN MIAMI-DADE,Sweetwater
2030340,10/1/2019,1.91002E+12,Violent Crime,774627,Tropical Storm,22,COASTAL MIAMI-DADE COUNTY,Miami Springs
2030543,10/1/2019,1.91002E+12,Aggravated Assault,774631,Hail,19,COASTAL MIAMI-DADE COUNTY,Miami Gardens
2030320,10/1/2019,1.91002E+12,Robbery,774595,Lightning,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030545,10/1/2019,1.91002E+12,Property Crime,774470,Lightning,1,MIAMI-DADE CO.,Aventura
2030441,10/1/2019,0,,774671,Strong Wind Rain,20,COASTAL MIAMI-DADE COUNTY,Miami Lakes
2030579,10/1/2019,1.91002E+12,Larcency- Theft,774704,Thunderstorm Wind,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030583,10/2/2019,1.91002E+12,Larcency- Theft,774667,Lightning,12,MIAMI-DADE CO.,Hialeah Gardens
2030470,10/3/2019,0,,774489,Coastal Flood,16,MIAMI-DADE CO.,Medley
2030349,10/3/2019,1.91002E+12,Burglary,774513,Tropical Storm,31,COASTAL MIAMI-DADE COUNTY,Surfside
2030407,10/3/2019,1.91002E+12,Larcency- Theft,0,,3,INLAND MIAMI-DADE,Bay Harbor Islands
2030409,10/3/2019,1.91002E+12,Motor Vehicle - Theft,774403,Storm Surge/Tide,13,METROPOLITAN MIAMI-DADE,Homestead
2030493,10/3/2019,1.91002E+12,Larcency- Theft,774677,Hail,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
2030420,10/3/2019,1.91002E+12,Larcency- Theft,774660,Thunderstorm Wind,2,INLAND MIAMI-DADE,Bal Harbour
2030355,10/3/2019,1.91002E+12,Robbery,774695,Thunderstorm Wind,18,COASTAL MIAMI-DADE COUNTY,Miami Beach
2030523,10/3/2019,0,,774579,Storm Surge/Tide,11,METROPOLITAN MIAMI-DADE,Hialeah
2030573,10/4/2019,1.91002E+12,Burglary,774568,Storm Surge/Tide,21,COASTAL MIAMI-DADE COUNTY,Miami Shores
