Date,Loss
1/1/17,0
2/1/17,0
3/1/17,65.76
4/1/17,0
5/1/17,0
6/1/17,665.65
7/1/17,110.67
8/1/17,1524.9
9/1/17,122.18
10/1/17,0
11/1/17,157.19
12/1/17,773.37
1/1/18,678.38
2/1/18,0
3/1/18,0
4/1/18,648.67
5/1/18,545.91
6/1/18,842.42
7/1/18,928.58
8/1/18,361.9
9/1/18,387.95
10/1/18,0
11/1/18,126.79
12/1/18,1073.05
1/1/19,753.82
2/1/19,165.23
3/1/19,1381.25
4/1/19,804.8
5/1/19,0
6/1/19,1471.61
7/1/19,431.67
8/1/19,1102.97
9/1/19,766.18
10/1/19,1397.89
11/1/19,832.48
12/1/19,0
