Date,Loss
1/1/17,1419.55
2/1/17,94.41
3/1/17,1190.12
4/1/17,1368.38
5/1/17,371.58
6/1/17,644.34
7/1/17,1983.5
8/1/17,530.02
9/1/17,1723.21
10/1/17,1063.26
11/1/17,744.69
12/1/17,3100.73
1/1/18,1221.51
2/1/18,2732.9
3/1/18,1416.27
4/1/18,1437.69
5/1/18,2159.85
6/1/18,1765.75
7/1/18,3171.21
8/1/18,1520.01
9/1/18,1029.26
10/1/18,2034.41
11/1/18,1064.83
12/1/18,1008.87
1/1/19,1013.16
2/1/19,936.96
3/1/19,1435.58
4/1/19,1045.95
5/1/19,921.73
6/1/19,935.21
7/1/19,2609.65
8/1/19,872.95
9/1/19,1023.65
10/1/19,972.88
11/1/19,1843.33
12/1/19,1970.23
